uuid,age_range,marry,fammily_num,child_num,house_flg,income,visits_frequency,pass_days,all_purchase_price,purchase_num,purchase_product_num,coupon_use,purchase_price,coupon_id,category_id,category
1,40-49,無回答,1,0,0,5,9,19,56562,1,2,0,534,1,c1,米・パン
1,40-49,無回答,1,0,0,5,9,19,56562,1,2,0,2803,2,c2,肉
1,40-49,無回答,1,0,0,5,9,19,56562,0,0,0,0,3,c3,海鮮
1,40-49,無回答,1,0,0,5,9,19,56562,1,1,0,764,4,c4,自然食品
1,40-49,無回答,1,0,0,5,9,19,56562,9,17,0,4981,5,c5,即席食品
1,40-49,無回答,1,0,0,5,9,19,56562,0,0,0,0,6,c6,惣菜
1,40-49,無回答,1,0,0,5,9,19,56562,0,0,0,0,7,c7,飲料
1,40-49,無回答,1,0,0,5,9,19,56562,9,77,0,22620,8,c8,食料品その他
1,40-49,無回答,1,0,0,5,9,19,56562,9,10,0,24860,9,c9,医薬品類
1,40-49,無回答,1,0,0,5,9,19,56562,0,0,0,0,10,c10,スキンケア・ヘアケア
1,40-49,無回答,1,0,0,5,9,19,56562,0,0,0,0,11,c11,花・植物
2,70+,無回答,1,0,0,5,13,6,37313,0,0,0,0,1,c1,米・パン
2,70+,無回答,1,0,0,5,13,6,37313,10,10,0,4278,2,c2,肉
2,70+,無回答,1,0,0,5,13,6,37313,4,5,0,2311,3,c3,海鮮
2,70+,無回答,1,0,0,5,13,6,37313,5,18,0,1104,4,c4,自然食品
2,70+,無回答,1,0,0,5,13,6,37313,8,9,-178,5423,5,c5,即席食品
2,70+,無回答,1,0,0,5,13,6,37313,0,0,0,0,6,c6,惣菜
2,70+,無回答,1,0,0,5,13,6,37313,8,13,0,3866,7,c7,飲料
2,70+,無回答,1,0,0,5,13,6,37313,13,87,0,14527,8,c8,食料品その他
2,70+,無回答,1,0,0,5,13,6,37313,13,18,0,5804,9,c9,医薬品類
2,70+,無回答,1,0,0,5,13,6,37313,0,0,0,0,10,c10,スキンケア・ヘアケア
2,70+,無回答,1,0,0,5,13,6,37313,0,0,0,0,11,c11,花・植物
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,1,c1,米・パン
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,2,c2,肉
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,3,c3,海鮮
3,40-49,独身,5,3,0,2,13,8,47058,1,1,0,407,4,c4,自然食品
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,5,c5,即席食品
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,6,c6,惣菜
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,7,c7,飲料
3,40-49,独身,5,3,0,2,13,8,47058,13,26,0,7986,8,c8,食料品その他
3,40-49,独身,5,3,0,2,13,8,47058,13,39,-489,38665,9,c9,医薬品類
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,10,c10,スキンケア・ヘアケア
3,40-49,独身,5,3,0,2,13,8,47058,0,0,0,0,11,c11,花・植物
4,50-59,既婚,5,3,0,9,14,27,122515,2,3,0,886,1,c1,米・パン
4,50-59,既婚,5,3,0,9,14,27,122515,2,2,0,1684,2,c2,肉
4,50-59,既婚,5,3,0,9,14,27,122515,2,2,0,2133,3,c3,海鮮
4,50-59,既婚,5,3,0,9,14,27,122515,9,9,0,4616,4,c4,自然食品
4,50-59,既婚,5,3,0,9,14,27,122515,13,19,0,9471,5,c5,即席食品
4,50-59,既婚,5,3,0,9,14,27,122515,7,8,0,3921,6,c6,惣菜
4,50-59,既婚,5,3,0,9,14,27,122515,3,3,0,1576,7,c7,飲料
4,50-59,既婚,5,3,0,9,14,27,122515,14,150,-445,73174,8,c8,食料品その他
4,50-59,既婚,5,3,0,9,14,27,122515,14,40,0,24308,9,c9,医薬品類
4,50-59,既婚,5,3,0,9,14,27,122515,1,1,0,746,10,c10,スキンケア・ヘアケア
4,50-59,既婚,5,3,0,9,14,27,122515,0,0,0,0,11,c11,花・植物
5,20-29,無回答,2,0,0,4,6,48,24250,1,1,0,267,1,c1,米・パン
5,20-29,無回答,2,0,0,4,6,48,24250,0,0,0,0,2,c2,肉
5,20-29,無回答,2,0,0,4,6,48,24250,0,0,0,0,3,c3,海鮮
5,20-29,無回答,2,0,0,4,6,48,24250,0,0,0,0,4,c4,自然食品
5,20-29,無回答,2,0,0,4,6,48,24250,0,0,0,0,5,c5,即席食品
5,20-29,無回答,2,0,0,4,6,48,24250,0,0,0,0,6,c6,惣菜
5,20-29,無回答,2,0,0,4,6,48,24250,1,2,0,712,7,c7,飲料
5,20-29,無回答,2,0,0,4,6,48,24250,6,40,-178,18372,8,c8,食料品その他
5,20-29,無回答,2,0,0,4,6,48,24250,3,3,-267,3380,9,c9,医薬品類
5,20-29,無回答,2,0,0,4,6,48,24250,2,2,0,1519,10,c10,スキンケア・ヘアケア
5,20-29,無回答,2,0,0,4,6,48,24250,0,0,0,0,11,c11,花・植物
6,60-69,既婚,4,2,0,7,27,6,167426,3,3,0,1510,1,c1,米・パン
6,60-69,既婚,4,2,0,7,27,6,167426,4,4,0,3009,2,c2,肉
6,60-69,既婚,4,2,0,7,27,6,167426,1,1,0,1244,3,c3,海鮮
6,60-69,既婚,4,2,0,7,27,6,167426,9,16,0,4391,4,c4,自然食品
6,60-69,既婚,4,2,0,7,27,6,167426,18,24,-62,13678,5,c5,即席食品
6,60-69,既婚,4,2,0,7,27,6,167426,0,0,0,0,6,c6,惣菜
6,60-69,既婚,4,2,0,7,27,6,167426,6,7,0,2374,7,c7,飲料
6,60-69,既婚,4,2,0,7,27,6,167426,27,291,0,114019,8,c8,食料品その他
6,60-69,既婚,4,2,0,7,27,6,167426,27,61,0,27201,9,c9,医薬品類
6,60-69,既婚,4,2,0,7,27,6,167426,0,0,0,0,10,c10,スキンケア・ヘアケア
