顧客ID,c1_購入回数,c1_購入商品数,c1_クーポン割引,c1_購入金額,c2_購入回数,c2_購入商品数,c2_クーポン割引,c2_購入金額,c3_購入回数,c3_購入商品数,c3_クーポン割引,c3_購入金額,c4_購入回数,c4_購入商品数,c4_クーポン割引,c4_購入金額,c5_購入回数,c5_購入商品数,c5_クーポン割引,c5_購入金額,c6_購入回数,c6_購入商品数,c6_クーポン割引,c6_購入金額,c7_購入回数,c7_購入商品数,c7_クーポン割引,c7_購入金額,c8_購入回数,c8_購入商品数,c8_クーポン割引,c8_購入金額,c9_購入回数,c9_購入商品数,c9_クーポン割引,c9_購入金額,c10_購入回数,c10_購入商品数,c10_クーポン割引,c10_購入金額,c11_購入回数,c11_購入商品数,c11_クーポン割引,c11_購入金額,来店頻度,経過日数,総購入金額
1,1,2,0,534,1,2,0,2803,0,0,0,0,1,1,0,764,9,17,0,4981,0,0,0,0,0,0,0,0,9,77,0,22620,9,10,0,24860,0,0,0,0,0,0,0,0,9,19,56562
2,0,0,0,0,10,10,0,4278,4,5,0,2311,5,18,0,1104,8,9,-178,5423,0,0,0,0,8,13,0,3866,13,87,0,14527,13,18,0,5804,0,0,0,0,0,0,0,0,13,6,37313
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,407,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,7986,13,39,-489,38665,0,0,0,0,0,0,0,0,13,8,47058
4,2,3,0,886,2,2,0,1684,2,2,0,2133,9,9,0,4616,13,19,0,9471,7,8,0,3921,3,3,0,1576,14,150,-445,73174,14,40,0,24308,1,1,0,746,0,0,0,0,14,27,122515
5,1,1,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,712,6,40,-178,18372,3,3,-267,3380,2,2,0,1519,0,0,0,0,6,48,24250
6,3,3,0,1510,4,4,0,3009,1,1,0,1244,9,16,0,4391,18,24,-62,13678,0,0,0,0,6,7,0,2374,27,291,0,114019,27,61,0,27201,0,0,0,0,0,0,0,0,27,6,167426
7,1,1,0,265,0,0,0,0,0,0,0,0,2,3,0,436,0,0,0,0,1,1,0,354,3,3,0,1779,11,41,0,9478,11,14,0,12716,1,2,0,1243,0,0,0,0,11,7,26271
8,12,13,0,3024,4,4,0,2115,8,8,0,7111,16,18,0,6030,8,8,0,4853,11,12,0,8621,2,2,0,886,23,185,0,77450,22,25,0,11330,1,1,0,532,2,2,0,1065,23,4,123017
9,2,2,0,888,4,4,0,2223,0,0,0,0,3,13,0,712,3,4,0,1387,0,0,0,0,0,0,0,0,18,101,0,21503,9,15,0,5205,1,2,0,1107,0,0,0,0,18,3,33025
10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,621,9,16,0,3476,0,0,0,0,6,7,0,3665,27,131,0,36629,15,16,0,7643,1,1,0,283,0,0,0,0,27,4,52317
